"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,35,"california 15","democrat",126147,0.675974607467651
2010,36,"california 16","democrat",105841,0.678215801715851
2010,36,"california 16","republican",37913,0.242941722273827
2010,36,"california 16","libertarian",12304,0.0788424834609032
2010,37,"california 17","libertarian",2742,0.015392473898828
2010,37,"california 17","republican",53176,0.29850846529007
2010,37,"california 17","democrat",118734,0.666524469852448
2010,37,"california 17","green",3397,0.0190693773329258
2010,37,"california 17","write-in",90,0.000505222997162491
2010,38,"california 18","republican",51716,0.415159463882446
2010,38,"california 18","democrat",72853,0.584840536117554
2010,39,"california 19","republican",128394,0.645513892173767
2010,39,"california 19","write-in",596,0.00299645098857582
2010,39,"california 19","democrat",69912,0.351489663124084
2010,40,"california 20","republican",43197,0.482950240373611
2010,40,"california 20","democrat",46247,0.517049789428711
2010,41,"california 21","republican",135979,1
2010,42,"california 22","write-in",2173,0.0123702771961689
2010,42,"california 22","republican",173490,0.98762971162796
2010,43,"california 23","independent",5625,0.029075326398015
2010,43,"california 23","democrat",111768,0.5777228474617
2010,43,"california 23","libertarian",3326,0.017191918566823
2010,43,"california 23","republican",72744,0.376009881496429
2010,44,"california 24","republican",144055,0.599395036697388
2010,44,"california 24","democrat",96279,0.400604993104935
2010,45,"california 25","democrat",73028,0.381674110889435
2010,45,"california 25","republican",118308,0.618325889110565
2010,46,"california 26","american independent",12784,0.0613591745495796
2010,46,"california 26","republican",112774,0.541279673576355
2010,46,"california 26","democrat",76093,0.365222454071045
2010,46,"california 26","libertarian",6696,0.0321386903524399
2010,47,"california 27","democrat",102927,0.651506781578064
2010,47,"california 27","republican",55056,0.348493188619614
2010,48,"california 28","democrat",88385,0.69535905122757
2010,48,"california 28","republican",28493,0.224165469408035
2010,48,"california 28","libertarian",10229,0.0804755017161369
2010,49,"california 29","democrat",104374,0.647778749465942
2010,49,"california 29","republican",51534,0.319836646318436
2010,49,"california 29","libertarian",5218,0.0323845930397511
2010,50,"california 30","libertarian",5021,0.0211190897971392
2010,50,"california 30","democrat",153663,0.646329939365387
2010,50,"california 30","peace and freedom",3115,0.0131021626293659
2010,50,"california 30","republican",75948,0.319448828697205
2010,51,"california 31","democrat",76363,0.838177502155304
